Year,Genre,Sales,Percentage_per_year
1970,Action,0.21,18.10
1970,Adventure,0.24,20.69
1970,Misc,0.04,3.45
1970,Racing,0.01,0.86
1970,Role-Playing,0.63,54.31
1970,Shooter,0.01,0.86
1970,Sports,0.01,0.86
1970,Strategy,0.01,0.86
1977,Action,1.25,50.00
1977,Racing,0.27,10.80
1977,Shooter,0.98,39.20
1978,Action,1.1800000000000002,19.06
1978,Adventure,1.3,21.00
1978,Puzzle,1.03,16.64
1978,Shooter,2.53,40.87
1978,Sports,0.15,2.42
1979,Action,0.31,100.00
1980,Fighting,1.24,48.06
1980,Misc,0.51,19.77
1980,Racing,0.32,12.40
1980,Sports,0.51,19.77
1981,Action,1.8800000000000001,17.92
1981,Shooter,8.12,77.41
1981,Sports,0.49,4.67
1982,Action,14.45,32.63
1982,Action-Adventure,0.45,1.02
1982,Platform,5.96,13.46
1982,Puzzle,9.94,22.44
1982,Racing,0.48,1.08
1982,Shooter,11.77,26.57
1982,Simulation,0.45,1.02
1982,Sports,0.7899999999999999,1.78
1983,Action,7.15,27.58
1983,Misc,2.14,8.26
1983,Platform,7.31,28.20
1983,Puzzle,3.3200000000000003,12.81
1983,Racing,2.44,9.41
1983,Shooter,2.5100000000000002,9.68
1983,Sports,1.05,4.05
1984,Action,2.63,33.63
1984,Misc,1.45,18.54
1984,Platform,0.69,8.82
1984,Puzzle,0.78,9.97
1984,Racing,1.52,19.44
1984,Shooter,0.75,9.59
1985,Action,3.95,4.21
1985,Misc,1.85,1.97
1985,Platform,42.25,45.08
1985,Puzzle,2.5500000000000003,2.72
1985,Racing,4.16,4.44
1985,Shooter,29.58,31.56
1985,Sports,9.379999999999999,10.01
1986,Action,2.86,13.35
1986,Fighting,1.05,4.90
1986,Misc,0.02,0.09
1986,Platform,13.529999999999998,63.17
1986,Shooter,3.93,18.35
1986,Simulation,0.03,0.14
1987,Action,0.65,2.09
1987,Adventure,9.24,29.65
1987,Fighting,5.42,17.39
1987,Platform,3.8000000000000003,12.20
1987,Puzzle,1.1,3.53
1987,Racing,1.96,6.29
1987,Role-Playing,1.25,4.01
1987,Shooter,0.26,0.83
1987,Sports,7.48,24.01
1988,Action,1.47,5.31
1988,Adventure,4.38,15.82
1988,Platform,11.0,39.73
1988,Racing,2.14,7.73
1988,Role-Playing,2.01,7.26
1988,Shooter,1.92,6.93
1988,Sports,4.7700000000000005,17.23
1989,Action,0.71,0.93
1989,Misc,1.28,1.67
1989,Platform,25.490000000000006,33.25
1989,Puzzle,38.870000000000005,50.70
1989,Role-Playing,3.1,4.04
1989,Simulation,0.03,0.04
1989,Sports,7.180000000000001,9.37
1990,Action,4.83,9.22
1990,Platform,21.840000000000003,41.68
1990,Puzzle,11.49,21.93
1990,Role-Playing,6.199999999999999,11.83
1990,Shooter,2.7199999999999998,5.19
1990,Sports,5.319999999999999,10.15
1991,Action,1.96,3.23
1991,Adventure,2.1,3.46
1991,Fighting,0.39,0.64
1991,Misc,0.08,0.13
1991,Platform,37.61000000000001,62.02
1991,Puzzle,0.32,0.53
1991,Racing,7.3999999999999995,12.20
1991,Role-Playing,2.04,3.36
1991,Shooter,0.35,0.58
1991,Simulation,3.12,5.15
1991,Sports,4.580000000000001,7.55
1991,Strategy,0.69,1.14
1992,Action,1.39,1.84
1992,Adventure,5.25,6.93
1992,Fighting,6.3,8.32
1992,Misc,2.31,3.05
1992,Platform,27.169999999999998,35.89
1992,Puzzle,6.04,7.98
1992,Racing,9.04,11.94
1992,Role-Playing,13.99,18.48
1992,Shooter,1.7799999999999998,2.35
1992,Sports,1.43,1.89
1992,Strategy,0.43,0.57
1992,Visual Novel,0.58,0.77
1993,Action,1.62,2.48
1993,Adventure,4.75,7.28
1993,Fighting,9.57,14.66
1993,Misc,2.4899999999999998,3.81
1993,Platform,20.45,31.33
1993,Puzzle,9.08,13.91
1993,Racing,0.01,0.02
1993,Role-Playing,6.0200000000000005,9.22
1993,Shooter,3.33,5.10
1993,Simulation,2.49,3.81
1993,Sports,3.7199999999999993,5.70
1993,Strategy,1.75,2.68
1994,Action,1.83,2.90
1994,Adventure,2.3,3.64
1994,Fighting,11.229999999999997,17.77
1994,Misc,0.47,0.74
1994,Platform,25.68,40.64
1994,Puzzle,0.81,1.28
1994,Racing,1.0200000000000002,1.61
1994,Role-Playing,5.27,8.34
1994,Shooter,3.88,6.14
1994,Simulation,1.61,2.55
1994,Sports,6.67,10.56
1994,Strategy,2.42,3.83
1995,Action,3.0300000000000002,3.17
1995,Action-Adventure,0.37,0.39
1995,Adventure,6.929999999999997,7.25
1995,Fighting,15.909999999999998,16.64
1995,Misc,4.65,4.86
1995,Platform,21.23,22.20
1995,Puzzle,2.6499999999999995,2.77
1995,Racing,5.449999999999998,5.70
1995,Role-Playing,13.290000000000001,13.90
1995,Shooter,6.06,6.34
1995,Simulation,4.239999999999999,4.43
1995,Sports,8.899999999999997,9.31
1995,Strategy,2.92,3.05
1996,Action,13.219999999999995,8.39
1996,Adventure,3.819999999999999,2.42
1996,Fighting,20.720000000000013,13.14
1996,Misc,7.8100000000000005,4.95
1996,Platform,27.610000000000007,17.51
1996,Puzzle,4.539999999999998,2.88
1996,Racing,18.169999999999998,11.52
1996,Role-Playing,13.969999999999999,8.86
1996,Shooter,8.58,5.44
1996,Simulation,10.64,6.75
1996,Sports,17.910000000000004,11.36
1996,Strategy,10.669999999999998,6.77
1997,Action,15.250000000000002,8.53
1997,Action-Adventure,0.58,0.32
1997,Adventure,14.59,8.16
1997,Fighting,9.540000000000001,5.34
1997,Misc,10.58,5.92
1997,Platform,18.5,10.35
1997,Puzzle,5.420000000000001,3.03
1997,Racing,28.770000000000003,16.10
1997,Role-Playing,16.27,9.10
1997,Shooter,19.85000000000001,11.11
1997,Simulation,9.92,5.55
1997,Sports,22.459999999999997,12.57
1997,Strategy,6.9700000000000015,3.90
1998,Action,26.39999999999999,9.39
1998,Action-Adventure,0.32,0.11
1998,Adventure,22.449999999999996,7.98
1998,Fighting,29.07000000000001,10.34
1998,Misc,10.38,3.69
1998,Platform,27.849999999999994,9.90
1998,Puzzle,4.2700000000000005,1.52
1998,Racing,33.550000000000004,11.93
1998,Role-Playing,48.02999999999998,17.08
1998,Shooter,12.290000000000001,4.37
1998,Simulation,5.7700000000000005,2.05
1998,Sports,42.80000000000002,15.22
1998,Strategy,17.83,6.34
1998,Visual Novel,0.2,0.07
1999,Action,29.369999999999994,10.92
1999,Adventure,9.179999999999998,3.41
1999,Fighting,21.59000000000001,8.03
1999,Misc,21.659999999999993,8.06
1999,Platform,26.960000000000004,10.03
1999,Puzzle,4.329999999999999,1.61
1999,Racing,40.669999999999995,15.13
1999,Role-Playing,33.92,12.62
1999,Shooter,18.390000000000008,6.84
1999,Simulation,9.739999999999998,3.62
1999,Sports,38.68999999999999,14.39
1999,Strategy,14.37,5.34
2000,Action,28.830000000000002,11.17
2000,Action-Adventure,0.26,0.10
2000,Adventure,8.980000000000002,3.48
2000,Fighting,21.070000000000004,8.16
2000,Misc,15.65,6.06
2000,Music,0.32,0.12
2000,Platform,15.649999999999997,6.06
2000,Puzzle,2.57,1.00
2000,Racing,26.56,10.29
2000,Role-Playing,54.79000000000001,21.23
2000,Shooter,12.71,4.92
2000,Simulation,10.45,4.05
2000,Sports,44.61999999999999,17.29
2000,Strategy,15.649999999999999,6.06
2001,Action,55.55000000000001,15.97
2001,Action-Adventure,0.14,0.04
2001,Adventure,18.850000000000005,5.42
2001,Fighting,18.92,5.44
2001,MMO,1.12,0.32
2001,Misc,14.18,4.08
2001,Party,0.18,0.05
2001,Platform,30.510000000000005,8.77
2001,Puzzle,9.58,2.75
2001,Racing,55.35999999999999,15.92
2001,Role-Playing,39.32000000000003,11.31
2001,Sandbox,0.36,0.10
2001,Shooter,24.180000000000003,6.95
2001,Simulation,17.119999999999994,4.92
2001,Sports,51.98000000000003,14.94
2001,Strategy,10.459999999999994,3.01
2002,Action,65.88999999999999,16.93
2002,Action-Adventure,0.15,0.04
2002,Adventure,22.84000000000001,5.87
2002,Fighting,24.39,6.27
2002,Misc,17.07999999999999,4.39
2002,Party,0.09,0.02
2002,Platform,51.529999999999994,13.24
2002,Puzzle,5.419999999999998,1.39
2002,Racing,31.470000000000006,8.09
2002,Role-Playing,24.300000000000008,6.24
2002,Shooter,49.80999999999998,12.80
2002,Simulation,15.839999999999998,4.07
2002,Sports,67.31999999999995,17.30
2002,Strategy,13.000000000000004,3.34
2003,Action,63.51999999999999,15.76
2003,Action-Adventure,0.64,0.16
2003,Adventure,14.869999999999997,3.69
2003,Fighting,22.270000000000003,5.52
2003,Misc,25.360000000000003,6.29
2003,Platform,43.64000000000001,10.82
2003,Puzzle,2.3699999999999983,0.59
2003,Racing,54.28000000000002,13.46
2003,Role-Playing,47.51000000000001,11.78
2003,Shooter,30.250000000000007,7.50
2003,Simulation,23.259999999999998,5.77
2003,Sports,65.06,16.14
2003,Strategy,10.129999999999995,2.51
2004,Action,65.49999999999997,14.21
2004,Action-Adventure,0.72,0.16
2004,Adventure,18.619999999999994,4.04
2004,Fighting,20.210000000000008,4.38
2004,MMO,1.48,0.32
2004,Misc,49.26000000000002,10.69
2004,Party,0.08,0.02
2004,Platform,54.70000000000001,11.87
2004,Puzzle,5.800000000000001,1.26
2004,Racing,33.430000000000014,7.25
2004,Role-Playing,46.50999999999999,10.09
2004,Shooter,73.77999999999999,16.01
2004,Simulation,10.359999999999996,2.25
2004,Sports,63.65000000000001,13.81
2004,Strategy,16.360000000000007,3.55
2004,Visual Novel,0.51,0.11
2005,Action,78.55000000000003,16.96
2005,Action-Adventure,0.86,0.19
2005,Adventure,20.619999999999997,4.45
2005,Fighting,21.76999999999999,4.70
2005,Misc,35.47000000000002,7.66
2005,Party,0.95,0.21
2005,Platform,26.16,5.65
2005,Puzzle,8.279999999999998,1.79
2005,Racing,73.08000000000004,15.78
2005,Role-Playing,36.99,7.99
2005,Shooter,43.18000000000003,9.32
2005,Simulation,46.40000000000002,10.02
2005,Sports,62.49000000000004,13.49
2005,Strategy,8.329999999999997,1.80
2006,Action,51.63000000000002,10.14
2006,Action-Adventure,0.26,0.05
2006,Adventure,23.740000000000016,4.66
2006,Fighting,22.139999999999993,4.35
2006,Misc,59.81000000000004,11.75
2006,Music,0.3,0.06
2006,Party,0.47000000000000003,0.09
2006,Platform,53.730000000000025,10.56
2006,Puzzle,9.699999999999996,1.91
2006,Racing,30.77000000000001,6.05
2006,Role-Playing,46.110000000000014,9.06
2006,Shooter,43.470000000000034,8.54
2006,Simulation,24.240000000000013,4.76
2006,Sports,137.06,26.93
2006,Strategy,5.499999999999999,1.08
2007,Action,89.38000000000011,13.83
2007,Action-Adventure,1.1400000000000001,0.18
2007,Adventure,26.170000000000016,4.05
2007,Education,0.22,0.03
2007,Fighting,17.659999999999986,2.73
2007,MMO,3.73,0.58
2007,Misc,138.65000000000003,21.46
2007,Platform,50.41999999999999,7.80
2007,Puzzle,16.62000000000001,2.57
2007,Racing,39.62000000000002,6.13
2007,Role-Playing,52.68000000000003,8.15
2007,Sandbox,0.23,0.04
2007,Shooter,85.6,13.25
2007,Simulation,45.73999999999999,7.08
2007,Sports,67.88000000000005,10.50
2007,Strategy,10.429999999999986,1.61
2008,Action,90.02,12.19
2008,Action-Adventure,0.66,0.09
2008,Adventure,67.28000000000021,9.11
2008,Fighting,34.82999999999999,4.72
2008,MMO,4.0,0.54
2008,Misc,90.52000000000008,12.26
2008,Music,2.86,0.39
2008,Platform,41.60000000000001,5.63
2008,Puzzle,10.54999999999999,1.43
2008,Racing,77.05000000000004,10.43
2008,Role-Playing,50.44000000000003,6.83
2008,Shooter,83.29000000000002,11.28
2008,Simulation,43.17999999999998,5.85
2008,Sports,128.69999999999987,17.43
2008,Strategy,13.509999999999991,1.83
2009,Action,106.02000000000014,15.05
2009,Action-Adventure,1.1,0.16
2009,Adventure,50.959999999999916,7.24
2009,Fighting,36.91,5.24
2009,Misc,74.27000000000002,10.55
2009,Music,3.59,0.51
2009,Platform,48.199999999999996,6.84
2009,Puzzle,19.060000000000013,2.71
2009,Racing,43.75999999999999,6.21
2009,Role-Playing,56.279999999999994,7.99
2009,Shooter,69.59000000000002,9.88
2009,Simulation,38.620000000000005,5.48
2009,Sports,141.00000000000006,20.02
2009,Strategy,14.639999999999985,2.08
2009,Visual Novel,0.25,0.04
2010,Action,102.55000000000001,15.00
2010,Action-Adventure,0.9600000000000001,0.14
2010,Adventure,37.910000000000075,5.54
2010,Fighting,17.28000000000001,2.53
2010,MMO,6.28,0.92
2010,Misc,105.82000000000004,15.48
2010,Music,2.64,0.39
