Name,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Global_Sales,Year,img_url,Market_Share
Wii Sports,Sports,E,Wii,Nintendo,Nintendo EAD,,7.7,,82.86,2006,/games/boxart/full_2258645AmericaFrontccc.jpg,16.281217456231797
Super Mario Bros.,Platform,,NES,Nintendo,Nintendo EAD,,10.0,,40.24,1985,/games/boxart/8972270ccc.jpg,42.936406316688014
Mario Kart Wii,Racing,E,Wii,Nintendo,Nintendo EAD,,8.2,9.1,37.14,2008,/games/boxart/full_8932480AmericaFrontccc.jpg,5.029181166975901
PlayerUnknown's Battlegrounds,Shooter,,PC,PUBG Corporation,PUBG Corporation,,,,36.6,2017,/games/boxart/full_8052843AmericaFrontccc.jpg,9.990173599738025
Wii Sports Resort,Sports,E,Wii,Nintendo,Nintendo EAD,,8.0,8.8,33.09,2009,/games/boxart/full_7295041AmericaFrontccc.jpg,4.698615548455833
Pokemon Red / Green / Blue Version,Role-Playing,E,GB,Nintendo,Game Freak,,9.4,,31.38,1998,/games/boxart/full_6442337AmericaFrontccc.png,11.158920379787372
New Super Mario Bros.,Platform,E,DS,Nintendo,Nintendo EAD,,9.1,8.1,30.8,2006,/games/boxart/full_2916260AmericaFrontccc.jpg,6.051912836735933
Tetris,Puzzle,E,GB,Nintendo,Bullet Proof Software,,,,30.26,1989,/games/boxart/3740960ccc.jpg,39.472997651969735
New Super Mario Bros. Wii,Platform,E,Wii,Nintendo,Nintendo EAD,,8.6,9.2,30.22,2009,/games/boxart/full_1410872AmericaFrontccc.jpg,4.291089811856611
Minecraft,Misc,,PC,Mojang,Mojang AB,,10.0,,30.01,2010,/games/boxart/full_minecraft_1AmericaFront.png,4.3886459689095485
Duck Hunt,Shooter,,NES,Nintendo,Nintendo R&D1,,,,28.31,1985,/games/boxart/full_6570468AmericaFrontccc.jpg,30.206999573196757
Wii Play,Misc,E,Wii,Nintendo,Nintendo EAD,,5.9,4.5,28.02,2007,/games/boxart/full_6165969AmericaFrontccc.jpg,4.336320163424537
Kinect Adventures!,Party,E,X360,Microsoft Game Studios,Good Science Studio,,6.7,,24.0,2010,/games/boxart/full_kinect-adventures_386AmericaFront.jpg,3.509746859507803
Nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,,8.4,,23.96,2005,/games/boxart/full_4870931AmericaFrontccc.jpg,5.173493403580022
Mario Kart DS,Racing,E,DS,Nintendo,Nintendo EAD,,9.1,9.4,23.6,2005,/games/boxart/full_9551652AmericaFrontccc.jpg,5.095761449269138
Pokemon Gold / Silver Version,Role-Playing,E,GB,Nintendo,Game Freak,,9.2,,23.1,2000,/games/boxart/full_1344180AmericaFrontccc.png,8.94967262020069
Wii Fit,Sports,E,Wii,Nintendo,Nintendo EAD,,7.9,,22.67,2008,/games/boxart/full_3619557AmericaFrontccc.jpg,3.069777518991483
Wii Fit Plus,Sports,E,Wii,Nintendo,Nintendo EAD,,8.0,,21.13,2009,/games/boxart/full_2716475AmericaFrontccc.jpg,3.0003549875754527
Super Mario World,Platform,E,SNES,Nintendo,Nintendo EAD,,8.5,,20.61,1991,/games/boxart/full_1091265AmericaFrontccc.jpg,33.98746701846966
Grand Theft Auto V,Action,M,PS3,Rockstar Games,Rockstar North,,9.4,,20.32,2013,/games/boxart/full_6510540AmericaFrontccc.jpg,4.386968630583578
